Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000641062587610375,-0.0270610806424069,0.0130383041801076,0,0,0,0.154954966549661,0.000288482455992446,1.34615337721131E-07,-2.19476667889284E-09,0.000102286533156623,-1.87029729705504E-06,0.00037996489569889,0,0,0,0,0,0,package://myhexapod_description/meshes/base_link.STL,0.141176470588235,0.00784313725490196,1,1,0,0,0,0,0,0,package://myhexapod_description/meshes/base_link.STL,,case_holder-1;bottom-1;column-6;Cam_pin-1;column-7;Cam_holder_2-1;column-1;column-2;column-5;column-3;column-4;top - Copy-1;USB_holder-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1_l1,-0.00806224601063825,-0.00672597588241393,-0.0222013878562005,0,0,0,0.0173848381350191,1.80098683466882E-06,2.71142412938623E-08,1.76406239213805E-08,1.03469767138463E-06,9.20330157264301E-09,1.46962126426456E-06,0,0,0,0,0,0,package://myhexapod_description/meshes/link1_l1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://myhexapod_description/meshes/link1_l1.STL,,ES08MAII_pin-6;Coxa-1;ES08MAII-1,Origin_joint1_l1,Axis_joint1_l1,joint1_l1,continuous,-0.0471900957377952,-0.0846909980170476,0.0333,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link2_l1,-0.0207284792608098,-0.00457298257654315,-6.32878782574897E-05,0,0,0,0.00241602750324229,7.84746554197057E-08,-2.18303559732558E-08,6.40685205735395E-08,6.95959480864615E-07,2.26223346089884E-09,6.22650508720032E-07,0,0,0,0,0,0,package://myhexapod_description/meshes/link2_l1.STL,1,1,1,0.9,0,0,0,0,0,0,package://myhexapod_description/meshes/link2_l1.STL,,Femur-1,Origin_joint2_l1,Axis_joint2_l1,joint2_l1,continuous,-0.0173549775040496,-0.0185853143585623,-0.0243000000000001,0,0,0,link1_l1,0.0352876033106527,-0.999377198585494,0,,,,,,,,,,,,
link3_l1,-0.0017555342898588,0.0100933773966093,-0.0104738727826697,0,0,0,0.00980520879192993,2.67590341746477E-06,3.39637519317928E-09,1.18964160199247E-07,2.55009275257376E-06,4.77822904017731E-08,4.6298144105811E-07,0,0,0,0,0,0,package://myhexapod_description/meshes/link3_l1.STL,1,0.0313725490196078,0.0627450980392157,1,0,0,0,0,0,0,package://myhexapod_description/meshes/link3_l1.STL,,Tibia-1;ES08MAII-11,Origin_joint3_l1,Axis_joint3_l1,joint3_l1,continuous,-0.0411588142263402,-0.00145330102709124,0.0047797512185247,0,0,0,link2_l1,-0.0352876033106511,0.999377198585494,0,,,,,,,,,,,,
link1_l2,-0.00710042179359962,0.00727262552574385,-0.0222013878562004,0,0,0,0.017384838135019,1.77701480207914E-06,-1.36125062093018E-07,3.18145809512914E-08,1.05866970397431E-06,7.40362709343975E-08,1.46962126426456E-06,0,0,0,0,0,0,package://myhexapod_description/meshes/link1_l2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://myhexapod_description/meshes/link1_l2.STL,,ES08MAII_pin-2;Coxa-2;ES08MAII-2,Origin_joint1_l2,Axis_joint1_l2,joint1_l2,continuous,-0.0547460900589758,-0.00891354966241674,0.0333000000000001,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link2_l2,-0.0221179474264141,-0.00489499778216674,0.000354952301372807,0,0,0,0.00241602750324229,1.00495695982353E-07,1.09214191161804E-07,7.3744760369015E-08,6.76725190743576E-07,-1.3508062558812E-08,6.19863758278428E-07,0,0,0,0,0,0,package://myhexapod_description/meshes/link2_l2.STL,1,1,1,0.9,0,0,0,0,0,0,package://myhexapod_description/meshes/link2_l2.STL,,Femur-3,Origin_joint2_l2,Axis_joint2_l2,joint2_l2,continuous,-0.0177054207597022,0.00324315829430281,-0.0243,0,0,0,link1_l2,-0.180175460794602,-0.983634486650124,0,,,,,,,,,,,,
link3_l2,-0.000312121590769401,0.00533120047156848,-0.0104904932407494,0,0,0,0.00980520879192992,2.66809055091214E-06,-2.32210800768185E-08,1.53550230931468E-07,2.5545549293717E-06,1.61362010316771E-08,4.66332130812788E-07,0,0,0,0,0,0,package://myhexapod_description/meshes/link3_l2.STL,1,0.0313725490196078,0.0627450980392157,1,0,0,0,0,0,0,package://myhexapod_description/meshes/link3_l2.STL,,Tibia-3;ES08MAII-12,Origin_joint3_l2,Axis_joint3_l2,joint3_l2,continuous,-0.0404081437582719,0.00740168835102142,0.00560383990402152,0,0,0,link2_l2,0.180175460794602,0.983634486650124,0,,,,,,,,,,,,
link1_l3,-0.00559630373279337,0.159627292837933,-0.0222013878562003,0,0,0,0.017384838135019,1.68583311520164E-06,-2.75165132808249E-07,4.70849584426385E-08,1.1498513908518E-06,6.53952877769699E-08,1.46962126426456E-06,0,0,0,0,0,0,package://myhexapod_description/meshes/link1_l3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://myhexapod_description/meshes/link1_l3.STL,,ES08MAII_pin-3;Coxa-4;ES08MAII-3,Origin_joint1_l3,Axis_joint1_l3,joint1_l3,continuous,-0.0471900957377952,-0.0846909980170476,0.0333,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link2_l3,-0.0188207467364196,0.00907835344817356,-0.000555639138620834,0,0,0,0.0024160275032423,1.68972312493501E-07,2.22717643256588E-07,4.71610141228835E-08,6.02741864720202E-07,-1.99022850063415E-08,6.25370467790657E-07,0,0,0,0,0,0,package://myhexapod_description/meshes/link2_l3.STL,1,1,1,0.9,0,0,0,0,0,0,package://myhexapod_description/meshes/link2_l3.STL,,Femur-2,Origin_joint2_l3,Axis_joint2_l3,joint2_l3,continuous,-0.0208009289168688,0.148560267673523,-0.0243,0,0,0,link1_l3,-0.388803857549591,-0.92132055244337,0,,,,,,,,,,,,
link3_l3,0.00266988679925712,0.199705379975006,-0.0110761933807784,0,0,0,0.00980520879192993,2.64401172165923E-06,-3.35724891912431E-08,-2.07439429106529E-07,2.56160473008994E-06,1.34363357699381E-07,4.83361159347462E-07,0,0,0,0,0,0,package://myhexapod_description/meshes/link3_l3.STL,1,0.0313725490196078,0.0627450980392157,1,0,0,0,0,0,0,package://myhexapod_description/meshes/link3_l3.STL,,Tibia-2;ES08MAII-10,Origin_joint3_l3,Axis_joint3_l3,joint3_l3,continuous,-0.037712862813521,-0.168598883059176,0.00477975121852461,0,0,0,link2_l3,0.388803857549592,0.92132055244337,0,,,,,,,,,,,,
